iter	RMSE
679	14274.83981
680	14273.63904
681	14269.52542
682	14259.22987
683	14250.74334
684	14238.92177
685	14235.86116
686	14221.32152
687	14213.46253
688	14207.98113
689	14205.9492
690	14197.74735
691	14190.45729
692	14182.39884
693	14177.03567
694	14170.83145
695	14169.65405
696	14165.80297
697	14158.80104
698	14154.40597
699	14150.27962
700	14133.56511
701	14122.3957
702	14115.38395
703	14111.00941
704	14105.59769
705	14094.68626
706	14087.05255
707	14079.15548
708	14068.05621
709	14062.96778
710	14056.54713
711	14044.26488
712	14033.2517
713	14021.44038
714	14011.0339
715	13997.52174
716	13986.22905
717	13980.17329
718	13969.37644
719	13961.75532
720	13954.99473
721	13949.74337
722	13946.27646
723	13938.06344
724	13935.8033
725	13932.45445
726	13924.36971
727	13923.20678
728	13914.07173
729	13906.06673
730	13904.93352
731	13892.10502
732	13888.17108
733	13882.97889
734	13874.89668
735	13873.26213
736	13872.14394
737	13865.33652
738	13864.26036
739	13851.83195
740	13843.82426
741	13841.35778
742	13830.64771
743	13818.67862
744	13812.53734
745	13807.02603
746	13794.48182
747	13788.98992
748	13782.74091
749	13771.14622
750	13762.83954
751	13758.53985
752	13756.56475
753	13755.03998
754	13740.26369
755	13730.23136
756	13720.96599
757	13713.67678
758	13702.14758
759	13700.22791
760	13690.14594
761	13681.90839
762	13677.09972
763	13672.59221
764	13668.84564
765	13660.91461
766	13657.80247
767	13643.53669
768	13634.91566
769	13623.49003
770	13615.6299
771	13607.757
772	13604.30097
773	13594.89303
774	13587.32525
775	13583.50449
776	13576.59454
777	13568.78018
778	13567.7114
779	13560.29244
780	13551.67264
781	13536.67002
782	13530.29842
783	13524.39557
784	13519.83782
785	13512.1947
786	13510.43495
787	13503.05455
788	13495.81079
789	13493.75981
790	13491.23478
791	13490.19918
792	13478.60336
793	13470.53157
794	13464.16891
795	13455.28941
796	13448.88931
797	13447.59683
798	13438.87794
799	13431.38993
800	13426.04712
801	13420.17039
802	13414.08244
803	13411.76556
804	13403.14597
805	13396.76222
806	13390.00667
807	13381.42681
808	13379.58172
809	13374.05583
810	13365.23608
811	13360.49835
812	13345.90504
813	13341.9388
814	13340.46358
815	13335.10458
816	13333.5711
817	13332.11028
818	13323.78558
819	13312.73584
820	13306.51682
821	13305.4874
822	13293.27852
823	13285.98094
824	13280.17403
825	13272.07563
826	13265.86864
827	13253.36255
828	13251.18198
829	13243.09863
830	13239.89446
831	13233.0882
832	13232.14663
833	13228.5648
834	13221.33463
835	13220.2102
836	13210.13993
837	13202.88701
838	13197.11314
839	13183.82586
840	13178.27568
841	13176.21221
842	13173.29478
843	13171.90811
844	13164.96309
845	13162.13795
846	13155.31637
847	13151.26366
848	13147.00151
849	13136.60687
850	13129.83022
851	13123.66835
852	13119.53391
853	13113.50662
854	13107.57685
855	13098.23519
856	13091.76073
857	13090.993
858	13085.61158
859	13078.73092
860	13072.47029
861	13065.92569
862	13058.88839
863	13050.01921
864	13035.92042
865	13028.68536
866	13015.91289
867	13014.27775
868	13013.30498
869	13011.94033
870	13008.6362
871	13005.23949
872	13000.65387
873	12997.51964
874	12993.87303
875	12992.98033
876	12986.07928
877	12979.22008
878	12975.12964
879	12970.83244
880	12969.89825
881	12968.91025
882	12960.17439
883	12959.21683
884	12951.13111
885	12946.93239
886	12943.00862
887	12930.99882
888	12923.16932
889	12922.31494
890	12914.21854
891	12905.25843
892	12893.54204
893	12889.04344
894	12888.22962
895	12879.25796
896	12872.81049
897	12868.82993
898	12860.06353
899	12854.03907
900	12848.26197
901	12840.85751
902	12836.96545
903	12830.35639
904	12824.53235
905	12818.98771
906	12818.2018
907	12812.82225
908	12806.24987
909	12798.6433
910	12797.86285
911	12790.22768
912	12784.08574
913	12773.7724
914	12762.83295
915	12756.48976
916	12748.29192
917	12742.59783
918	12735.27945
919	12730.41602
920	12722.1506
921	12714.85408
922	12702.9832
923	12696.70483
924	12690.56264
925	12686.85214
926	12679.77499
927	12675.84588
928	12666.58584
929	12661.16388
930	12658.54633
931	12652.6018
932	12651.76065
933	12645.04369
934	12644.30807
935	12636.82727
936	12629.30979
937	12620.62641
938	12613.23374
939	12602.13894
940	12596.74971
941	12586.45698
942	12575.98451
943	12569.20636
944	12567.53011
945	12562.42615
946	12558.46822
947	12550.78944
948	12548.54995
949	12542.69758
950	12541.91015
951	12541.19647
952	12539.80458
953	12533.23211
954	12530.08846
955	12523.7608
956	12515.24984
957	12506.58978
958	12500.67305
959	12495.5926
960	12490.45421
961	12486.91862
962	12479.4318
963	12468.98315
964	12461.1157
